latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-13.1132,-44.3447,478.3,1.0,1.0,2021-10-08,1320,Terra,MODIS,100,6.03,330.7,1209.6,D,0
-20.9485,-49.1165,477.9,1.7,1.3,2021-08-25,1726,Aqua,MODIS,100,6.03,330.7,2524.0,D,0
-6.8465,-59.2621,477.8,1.1,1.0,2021-08-09,1730,Aqua,MODIS,100,6.03,400.1,1245.9,D,0
-8.4063,-62.7666,477.7,1.1,1.1,2021-08-23,1742,Aqua,MODIS,100,6.03,340.8,1384.5,D,0
-15.6377,-54.8724,477.6,1.0,1.0,2021-08-24,1353,Terra,MODIS,100,6.03,341.9,1161.2,D,0
-14.6523,-45.1405,477.5,1.1,1.0,2021-09-16,1650,Aqua,MODIS,100,6.03,400.1,1232.3,D,0
-19.8109,-57.2308,477.5,1.0,1.0,2021-08-07,1738,Aqua,MODIS,100,6.03,340.4,1144.8,D,0
-11.401,-43.6508,477.5,1.0,1.0,2021-10-04,1639,Aqua,MODIS,94,6.03,335.6,1143.4,D,0
-11.4959,-54.034,477.4,1.5,1.2,2021-06-29,1734,Aqua,MODIS,100,6.03,400.1,1989.8,D,0
-19.8677,-48.2807,477.4,1.0,1.0,2021-08-22,1655,Aqua,MODIS,100,6.03,400.1,1179.1,D,0
-3.4535,-54.6932,477.4,1.0,1.0,2021-10-14,1718,Aqua,MODIS,100,6.03,318.7,1142.3,D,0
-8.6654,-62.9851,477.3,1.0,1.0,2021-08-21,1754,Aqua,MODIS,100,6.03,319.6,1135.2,D,0
-6.4062,-53.3713,477.1,1.3,1.1,2021-08-06,1659,Aqua,MODIS,94,6.03,321.4,1658.0,D,0
-11.8651,-43.6282,477.0,1.9,1.3,2021-10-08,1614,Aqua,MODIS,100,6.03,336.3,2751.4,D,0
-9.8777,-43.6861,476.9,3.3,1.7,2021-09-21,1710,Aqua,MODIS,100,6.03,400.1,6282.0,D,0
-8.089,-55.2973,476.8,1.2,1.1,2021-08-04,1711,Aqua,MODIS,100,6.03,400.1,1404.7,D,0
-16.7054,-58.4538,476.8,1.5,1.2,2021-09-12,502,Aqua,MODIS,100,6.03,315.1,1945.2,N,0
-1.8301,-54.6681,476.8,1.0,1.0,2021-10-14,1719,Aqua,MODIS,75,6.03,312.4,1155.5,D,0
-6.5454,-53.3919,476.7,1.1,1.0,2021-08-08,1350,Terra,MODIS,100,6.03,326.6,1211.4,D,0
